Epoch, Training Loss, Validation Loss, Validation Error (%)
1, 2.2551, 2.8117, 83.61
2, 1.9469, 1.9277, 77.05
3, 1.8639, 2.0571, 79.59
4, 1.7977, 1.8479, 72.14
5, 1.7458, 2.9070, 85.70
6, 1.6720, 1.6632, 62.05
7, 1.5612, 2.0635, 70.42
8, 1.4523, 2.2400, 69.30
9, 1.3519, 2.3320, 72.34
10, 1.2621, 1.3995, 51.01
11, 1.1825, 1.6961, 59.31
12, 1.0891, 1.2030, 43.36
13, 1.1048, 1.3882, 50.73
14, 1.0368, 1.5216, 52.54
15, 0.9711, 1.1498, 42.97
16, 0.9025, 1.3059, 43.46
17, 0.8607, 1.3420, 46.89
18, 0.8514, 1.7660, 53.85
19, 0.8793, 1.6474, 58.50
20, 0.8045, 1.5558, 52.06
21, 0.7471, 1.4678, 45.23
22, 0.7233, 1.0627, 35.40
23, 0.6964, 1.2555, 39.52
24, 0.6689, 1.3389, 42.58
25, 0.6554, 1.6119, 51.13
26, 0.6366, 1.1134, 37.19
27, 0.6163, 1.3403, 41.31
28, 0.6108, 1.3650, 40.66
29, 0.5910, 0.8588, 27.63
30, 0.5842, 1.2028, 38.40
31, 0.5802, 1.0727, 34.09
32, 0.5538, 1.6091, 48.90
33, 0.5498, 0.7681, 26.74
34, 0.5423, 1.5207, 41.38
35, 0.5326, 1.6488, 47.66
36, 0.5168, 1.2334, 38.80
37, 0.5119, 1.7682, 48.80
38, 0.5035, 1.7500, 43.03
39, 0.5010, 1.0671, 30.58
40, 0.4889, 1.4189, 38.79
41, 0.4875, 1.4500, 41.07
42, 0.4784, 2.0531, 49.88
43, 0.4732, 1.3843, 42.17
44, 0.4691, 1.1279, 31.21
45, 0.4576, 0.8092, 25.63
46, 0.4538, 0.8201, 26.54
47, 0.4542, 1.3272, 39.65
48, 0.4465, 1.1331, 34.08
49, 0.4482, 0.9118, 26.07
50, 0.4549, 0.7758, 24.06
51, 0.2743, 0.3268, 10.88
52, 0.2190, 0.3208, 10.72
53, 0.2027, 0.3109, 10.23
54, 0.1902, 0.3075, 9.97
55, 0.1803, 0.3208, 10.66
56, 0.1655, 0.3130, 10.16
57, 0.1594, 0.3034, 9.88
58, 0.1532, 0.3210, 10.25
59, 0.1405, 0.3188, 9.98
60, 0.1395, 0.3170, 10.05
61, 0.1334, 0.3288, 10.39
62, 0.1252, 0.3231, 9.98
63, 0.1244, 0.3363, 9.93
64, 0.1169, 0.3280, 9.91
65, 0.1095, 0.3912, 11.42
66, 0.1116, 0.3427, 10.34
67, 0.1125, 0.3460, 10.20
68, 0.1028, 0.3554, 10.45
69, 0.1026, 0.3394, 10.08
70, 0.0970, 0.3890, 11.09
71, 0.0965, 0.3607, 10.95
72, 0.0971, 0.3580, 10.59
73, 0.0905, 0.3976, 11.36
74, 0.0860, 0.3463, 9.76
75, 0.0887, 0.3733, 10.67
76, 0.0961, 0.4101, 11.49
77, 0.0832, 0.4437, 12.00
78, 0.0844, 0.4291, 11.57
79, 0.0796, 0.3873, 10.72
80, 0.0843, 0.4160, 11.30
81, 0.0806, 0.3821, 10.13
82, 0.0797, 0.3593, 10.83
83, 0.0805, 0.4132, 11.42
84, 0.0794, 0.4007, 11.37
85, 0.0794, 0.4138, 11.68
86, 0.0722, 0.4344, 11.83
87, 0.0817, 0.3723, 10.64
88, 0.0799, 0.4362, 11.59
89, 0.0734, 0.4020, 10.88
90, 0.0762, 0.4449, 12.17
91, 0.0735, 0.4465, 11.86
92, 0.0787, 0.3792, 10.74
93, 0.0745, 0.4240, 11.69
94, 0.0722, 0.4852, 12.76
95, 0.0794, 0.3898, 10.85
96, 0.0765, 0.4109, 11.08
97, 0.0777, 0.3971, 10.67
98, 0.0719, 0.4741, 12.84
99, 0.0703, 0.4147, 11.32
100, 0.0756, 0.4394, 11.58
101, 0.0398, 0.3207, 8.97
102, 0.0261, 0.3301, 8.93
103, 0.0235, 0.3211, 8.51
104, 0.0207, 0.3268, 8.83
105, 0.0201, 0.3180, 8.71
106, 0.0179, 0.3258, 8.35
107, 0.0161, 0.3357, 8.82
108, 0.0156, 0.3349, 8.65
109, 0.0143, 0.3366, 8.69
110, 0.0131, 0.3371, 8.60
